slug,description,citations,thumbnail,authors,affiliations,consortium,organName,technology,euiUrl,publications,anchorCellTypeL3
bonemarrow-codex-chop,"This dataset comprises 20 tissue sections from the bone marrow in the head of femur: 12 from normal (NBM) samples, 5 from acute myeloid leukemia (AML), and 3 from Negative lymphoma staging bone marrow biopsies (NSM). The samples were acquired via CODEX imaging.","Bandyopadhyay, S. et al. Mapping the cellular biogeography of human bone marrow niches using singlecell transcriptomics and proteomic imaging. Cell 187, 3120-3140.e29 https://doi.org/10.1016/j.cell.2024.04.013 (2024).",,Tan Lab,Children's Hospital of Philadelphia,HuBMAP,Bone marrow,CODEX,https://hubmapconsortium.github.io/hra-registrations/hubmap-bone_marrow-tan-2024/,https://doi.org/10.1016/j.cell.2024.04.013,endothelial cell of sinusoid
colon-cycif-sorgerlab,This dataset comprises 25 five micrometer-thick FFPE serial sections spaced 25 micrometers apart (with the exception of 4 sections that were serially cut) from a donor diagnosed with stage IIIb adenocarcinoma Colorectal Cancer (CRC). The samples underwent ten cycles of CyCIF resulting in 40 channels per plane/section.,"Lin, J.-R. et al. Multiplexed 3D atlas of state transitions and immune interaction in colorectal cancer. Cell 186, 363-381.e19 https://doi.org/10.1016/j.cell.2022.12.028 (2023).",,Sorger Lab,Harvard Medical School,HTAN,Large intestine,CyCIF,https://hubmapconsortium.github.io/hra-registrations/htan-intestine-sorger-2023/,https://doi.org/10.1016/j.cell.2022.12.028,endothelial cell
colon-xenium-stanford,This dataset comprises 29 2D serial tissue sections taken 5 micrometers apart. The sample is taken from a colon polyp. The samples were acquired via Xenium imaging (spatial transcriptomics).,NCI Human Tumor Atlas Network. https://data.humantumoratlas.org/publications/hta10_2025_tbd_rongduo-han (2025).,,Snyder Lab,Stanford University,HTAN,Large intestine,Xenium,https://hubmapconsortium.github.io/hra-registrations/htan-colon-snyder-2024/,https://data.humantumoratlas.org/publications/hta10_2025_tbd_rongduo-han,endothelial cell
esophagus-codex-stanford,"This dataset comprises one tissue section from esophagus from a donor with Barrett's Esophagus, acquired via CODEX imaging.","Brbić, M. et al. Annotation of spatially resolved single-cell data with STELLAR. Nat. Methods 19, 14111418 https://doi.org/10.1038/s41592-022-01651-8 (2022). ; Hickey, J. CODEX multiplexed imaging cell datasets used for using STELLAR to transfer cell type annotations to other tissues and donors. Dryad https://doi.org/10.5061/DRYAD.G4F4QRFRC (2022).",,Snyder Lab,Stanford University,HuBMAP,Esophagus,CODEX,,https://doi.org/10.1038/s41592-022-01651-8 ; https://doi.org/10.5061/DRYAD.G4F4QRFRC ,endothelial cell
intestine-codex-stanford,"This dataset comprises 64 tissue sections (32 from large intestine and 32 from small intestine) from 8 donors. The tissue samples were collected from eight different regions in the intestines (in order of trajectory from the stomach): duodenum, proximal jejunum, mid-jejunum and ileum (four regions in small intestine); ascending, transverse, descending and sigmoid (four regions in large intestine). The dataset uses CODEX imaging technology. All 64 datasets are normal tissue samples.","Hickey, J. W. et al. Organization of the human intestine at single-cell resolution. Nature 619, 572–584 https://doi.org/10.1038/s41586-023-05915-x (2023). ; Hickey, J. Processed single cell data from CODEX multiplexed imaging of the human intestine. Dryad https://doi.org/10.5061/DRYAD.PK0P2NGRF (2022).",,Snyder Lab / Hickey Lab,Stanford University / Duke University,HuBMAP,Large and small intestine,CODEX,https://hubmapconsortium.github.io/hra-registrations/hubmap-intestine-snyder-2023/,https://doi.org/10.1038/s41586-023-05915-x ; https://doi.org/10.5061/DRYAD.PK0P2NGRF  ,endothelial cell
lung-codex-urmc,This dataset comprises two tissue samples from two different donors. The samples were acquired via CODEX imaging. One dataset is a normal sample (D265) and one dataset is a diseased (Bronchopulmonary Disease or BPD) sample (D115).,"Börner, K. et al. Human BioMolecular Atlas Program (HuBMAP): 3D Human Reference Atlas construction and usage. Nat. Methods 22, 845–860 https://doi.org/10.1038/s41592-024-02563-5 (2025). ; Jain, Yashvardhan, et al. ""Exploring endothelial cell environments across organs in spatially resolved omics data."" bioRxiv https://doi.org/10.1101/2025.09.23.678129 (2025): 2025-09.",,Pryhuber Research Lab,University of Rochester Medical Center,HuBMAP,Lung,CODEX,https://hubmapconsortium.github.io/hra-registrations/hubmap-lung-pryhuber-2023/,https://doi.org/10.1101/2025.09.23.678129 ; https://doi.org/10.1038/s41592-024-02563-5 ,endothelial cell
lymphnode-codex-yale,This dataset comprises five tissue samples from lymph nodes acquired via CODEX imaging.,"Enninful, A., Fan, R., Farzad, N. & Zhong, M. PhenoCycler data from the lymph node of a 22.0-year-old unknown female. SenNet Consortium https://doi.org/10.60586/SNT228.XBSK.467 (2025). ; Enninful, A., Fan, R., Farzad, N. & Zhong, M. PhenoCycler data from the lymph node of a 86.0-year-old white male. SenNet Consortium https://doi.org/10.60586/SNT832.RKFV.643 (2025). ; Enninful, A., Fan, R., Farzad, N. & Zhong, M. SNT222.DNBF.782 | Dataset | SenNet. https://doi.org/10.60586/SNT222.DNBF.782 (2025). ; Enninful, A., Fan, R., Farzad, N. & Zhong, M. SNT325.JRSJ.469 | Dataset | SenNet. https://doi.org/10.60586/SNT325.JRSJ.469 (2025). ; Enninful, A., Fan, R., Farzad, N. & Zhong, M. SNT584.CWSK.568 | Dataset | SenNet. https://doi.org/10.60586/SNT584.CWSK.568 (2025). ; Enninful, A., Fan, R., Farzad, N. & Zhong, M. SNT625.XDTN.459 | Dataset | SenNet. https://doi.org/10.60586/SNT625.XDTN.459 (2025).",,Fan Lab,Yale University,SenNet,Lymph node,CODEX,https://hubmapconsortium.github.io/hra-registrations/sennet-lymph-node-fan-2023/,https://doi.org/10.60586/SNT228.XBSK.467 ; https://doi.org/10.60586/SNT832.RKFV.643 ; https://doi.org/10.60586/SNT222.DNBF.782 ; https://doi.org/10.60586/SNT325.JRSJ.469 ; https://doi.org/10.60586/SNT584.CWSK.568 ; https://doi.org/10.60586/SNT625.XDTN.459 ,endothelial cell
maternalfetalinterface-mibitof-stanford,This dataset comprises 209 2D tissue sections from the maternalfetal interface. The samples were acquired via MIBI-TOF imaging. The data is from normal tissue of 66 individuals.,"Greenbaum, S. et al. A spatially resolved timeline of the human maternal–fetal interface. Nature 619, 595605 https://doi.org/10.1038/s41586-023-06298-9 (2023).",,Angelo Lab,Stanford University,HuBMAP,Maternal fetal interface,MIBI-TOF,,https://doi.org/10.1038/s41586-023-06298-9 ,endothelial cell
oralcavity-codex-czi,"This dataset comprises 13 tissue sections from the mouth (also called oral cavity). The tissue samples were collected from 5 different regions in the mouth: Buccal Mucosa and Minor Salivary Glands (two datasets), Gingiva (two datasets), Parotid (four datasets), Submandibular (two datasets), and Tongue (three datasets). The samples were acquired via PhenoCycler Fusion imaging. All 13 datasets are normal tissue samples.","Easter, Q. T. et al. Single-cell and spatially resolved interactomics of tooth-associated keratinocytes in periodontitis. Nat. Commun. 15, 5016 https://doi.org/10.1038/s41467-024-49037-y (2024). ; Matuck, B. F. et al. The Immunoregulatory Architecture of the Adult Oral Cavity. 2024.12.01.626279 Preprint at https://doi.org/10.1101/2024.12.01.626279 (2024). ; Huynh, K. L. A. et al. Deconvolution of cell types and states in spatial multiomics utilizing TACIT. Nat. Commun. 16, 3747 https://doi.org/10.1038/s41467-025-58874-4 (2025).",,Lab of Oral & Craniofacial Innovation,Viginia Commonwealth University,CZI,Oral cavity,CODEX,,https://doi.org/10.1038/s41467-024-49037-y ; https://doi.org/10.1101/2024.12.01.626279 ; https://doi.org/10.1038/s41467-025-58874-4 ,endothelial cell of vascular tree
pancreas-geomx-ufl,"This dataset comprises 12 pancreas tissue sections from three donors. The donors represent an 18-year-old male, a 39-year-old female, and a 21 year old female. The tissue samples were collected from four different regions in the pancreas (in order of trajectory): head, neck, body, and tail. The samples were stained using multiplex immunofluorescence and acquired via GeoMx imaging using a 3-plex antibody panel according to published protocol. All 12 datasets are normal tissue samples.","Kates, H. & Campbell-Thompson, M. OME TIFF image GeoMX whole transcriptome assay from P2-4AD. figshare https://doi.org/10.6084/m9.figshare.29661272.v4 (2025). ; Campbell-Thompson, M. & Kates, H. OME TIFF image GeoMX whole transcriptome assay P2-13. figshare https://doi.org/10.6084/m9.figshare.29669540.v4 (2025). ; Campbell-Thompson, M. & Kates, H. OME TIFF image GeoMX whole transcriptome assay P2-19. figshare https://doi.org/10.6084/m9.figshare.29669573.v2 (2025). ; Campbell-Thompson, M. & Kates, H. OME TIFF image GeoMX whole transcriptome assay P3-3A. figshare https://doi.org/10.6084/m9.figshare.29669618.v1 (2025). ; Campbell-Thompson, M. & Kates, H. OME TIFF image GeoMX whole transcriptome assay P3-7A. figshare https://doi.org/10.6084/m9.figshare.29669648.v1 (2025). ; Campbell-Thompson, M. & Kates, H. OME TIFF image GeoMX whole transcriptome assay P3-9A. figshare https://doi.org/10.6084/m9.figshare.29669675.v1 (2025). ; Campbell-Thompson, M. & Kates, H. OME TIFF image GeoMX whole transcriptome assay P3-13A. figshare https://doi.org/10.6084/m9.figshare.29669726.v1 (2025). ; Campbell-Thompson, M. & Kates, H. OME TIFF image GeoMX whole transcriptome assay P4-3A. figshare https://doi.org/10.6084/m9.figshare.29669789.v3 (2025). ; Campbell-Thompson, M. & Kates, H. OME TIFF image GeoMX whole transcriptome assay P4-6A. figshare https://doi.org/10.6084/m9.figshare.29669831.v1 (2025). ; Campbell-Thompson, M. & Kates, H. OME TIFF image GeoMX whole transcriptome assay P4-12A. figshare https://doi.org/10.6084/m9.figshare.29669861.v1 (2025). ; Campbell-Thompson, M. & Kates, H. OME TIFF image GeoMX whole transcriptome assay P4-22. figshare https://doi.org/10.6084/m9.figshare.29669882.v2 (2025). ; Campbell-Thompson, M. & Kates, H. OME-TIFF image GeoMX whole transcriptome assay from P2-7A. figshare https://doi.org/10.6084/m9.figshare.29661308.v2 (2025). ; Jain, Yashvardhan, et al. ""Exploring endothelial cell environments across organs in spatially resolved omics data."" bioRxiv https://doi.org/10.1101/2025.09.23.678129 (2025): 2025-09.",,Martha L. Campbell-Thompson Lab,University of Florida,HuBMAP,Pancreas,GeoMx,https://hubmapconsortium.github.io/hra-registrations/hubmap-pancreas-campbell-2024/,https://doi.org/10.6084/m9.figshare.29661272.v4 ; https://doi.org/10.6084/m9.figshare.29669540.v4 ; https://doi.org/10.6084/m9.figshare.29669573.v2 ; https://doi.org/10.6084/m9.figshare.29669618.v1 ; https://doi.org/10.6084/m9.figshare.29669648.v1 ; https://doi.org/10.6084/m9.figshare.29669675.v1 ; https://doi.org/10.6084/m9.figshare.29669726.v1 ; https://doi.org/10.6084/m9.figshare.29669789.v3 ; https://doi.org/10.6084/m9.figshare.29669831.v1 ; https://doi.org/10.6084/m9.figshare.29669861.v1 ; https://doi.org/10.6084/m9.figshare.29669882.v2 ; https://doi.org/10.6084/m9.figshare.29661308.v2 ; https://doi.org/10.1101/2025.09.23.678129,endothelial cell
