donor_id,block_id,dataset_id,dataset_cell_count
https://doi.org/10.1016/j.cell.2022.12.028#CRC01002$TEMP_DONOR,https://doi.org/10.1016/j.cell.2022.12.028#CRC01002$TEMP_BLOCK,https://doi.org/10.1016/j.cell.2022.12.028#CRC01002,483936
https://doi.org/10.1016/j.cell.2022.12.028#CRC01007$TEMP_DONOR,https://doi.org/10.1016/j.cell.2022.12.028#CRC01007$TEMP_BLOCK,https://doi.org/10.1016/j.cell.2022.12.028#CRC01007,468159
https://doi.org/10.1016/j.cell.2022.12.028#CRC01014$TEMP_DONOR,https://doi.org/10.1016/j.cell.2022.12.028#CRC01014$TEMP_BLOCK,https://doi.org/10.1016/j.cell.2022.12.028#CRC01014,427104
https://doi.org/10.1016/j.cell.2022.12.028#CRC01020$TEMP_DONOR,https://doi.org/10.1016/j.cell.2022.12.028#CRC01020$TEMP_BLOCK,https://doi.org/10.1016/j.cell.2022.12.028#CRC01020,407394
https://doi.org/10.1016/j.cell.2022.12.028#CRC01025$TEMP_DONOR,https://doi.org/10.1016/j.cell.2022.12.028#CRC01025$TEMP_BLOCK,https://doi.org/10.1016/j.cell.2022.12.028#CRC01025,414100
https://doi.org/10.1016/j.cell.2022.12.028#CRC01029$TEMP_DONOR,https://doi.org/10.1016/j.cell.2022.12.028#CRC01029$TEMP_BLOCK,https://doi.org/10.1016/j.cell.2022.12.028#CRC01029,442126
https://doi.org/10.1016/j.cell.2022.12.028#CRC01034$TEMP_DONOR,https://doi.org/10.1016/j.cell.2022.12.028#CRC01034$TEMP_BLOCK,https://doi.org/10.1016/j.cell.2022.12.028#CRC01034,553589
https://doi.org/10.1016/j.cell.2022.12.028#CRC01039$TEMP_DONOR,https://doi.org/10.1016/j.cell.2022.12.028#CRC01039$TEMP_BLOCK,https://doi.org/10.1016/j.cell.2022.12.028#CRC01039,464039
https://doi.org/10.1016/j.cell.2022.12.028#CRC01044$TEMP_DONOR,https://doi.org/10.1016/j.cell.2022.12.028#CRC01044$TEMP_BLOCK,https://doi.org/10.1016/j.cell.2022.12.028#CRC01044,386081
https://doi.org/10.1016/j.cell.2022.12.028#CRC01049$TEMP_DONOR,https://doi.org/10.1016/j.cell.2022.12.028#CRC01049$TEMP_BLOCK,https://doi.org/10.1016/j.cell.2022.12.028#CRC01049,529188
